"condition","ssr","taxa","abundance"
"Healthy","1246086","Flavobacterium",0.2783
"Healthy","1246086","Kluyvera",0.0914
"Healthy","1246086","Haemophilus",0.2021
"Healthy","1246086","Bacteroides",11.3585
"Healthy","1246086","Porphyromonas",0.8364
"Healthy","1246086","Prevotella",0.0623
"Healthy","1246086","Roseburia",10.6259
"Healthy","1246086","Acidaminococcus",0.198
"Healthy","1246086","Megasphaera",0.011
"Healthy","1246086","Sarcina",0.1758
"Healthy","1246086","Streptococcus",0.2811
"Healthy","1246086","Lactococcus",0.029
"Healthy","1246086","Atopobium",0.0096
"Healthy","1246086","Clostridium",0.5373
"Healthy","1246086","Lactobacillus",0.0027
"Healthy","1246086","Actinomyces",0.0249
"Healthy","1246086","Bifidobacterium",0.198
"Healthy","1246086","Corynebacterium",0.3199
"Healthy","1246086","Propionibacterium",0.0041
"Healthy","1246086","Mobiluncus",0.0249
"Healthy","1246086","Methanobrevibacter",0.0027
"Healthy","1246086","Peptococcus",0.0096
"Healthy","1246086","Lachnospira",2.2143
"Healthy","1246086","Veillonella",0.029
"Healthy","1246086","Phascolarctobacterium",1.9498
"Healthy","1246086","Dialister",0.0318
"Healthy","1246086","Pseudobutyrivibrio",4.1282
"Healthy","1246086","Pantoea",0.0027
"Healthy","1246086","Holdemania",0.0083
"Healthy","1246086","Eggerthella",0.2215
"Healthy","1246086","Mogibacterium",0.1841
"Healthy","1246086","Collinsella",0.5539
"Healthy","1246086","Granulicatella",0.0027
"Healthy","1246086","Oscillospira",0.0457
"Healthy","1246086","Finegoldia",0.4625
"Healthy","1246086","Peptoniphilus",0.9292
"Healthy","1246086","Gallicola",0.0027
"Healthy","1246086","Anaerococcus",0.6564
"Healthy","1246086","Varibaculum",0.1384
"Healthy","1246086","Dorea",1.7366
"Healthy","1246086","Turicibacter",0.0235
"Healthy","1246086","Anaerostipes",1.31
"Healthy","1246086","Faecalibacterium",25.5393
"Healthy","1246086","Fastidiosipila",0.0249
"Healthy","1246086","Alistipes",0.2395
"Healthy","1246086","Hespellia",0.0817
"Healthy","1246086","Anaerotruncus",0.0027
"Healthy","1246086","Marvinbryantia",0.029
"Healthy","1246086","Odoribacter",0.2077
"Healthy","1246086","Subdoligranulum",4.7403
"Healthy","1246086","Parabacteroides",4.2861
"Healthy","1246086","Aggregatibacter",0.0207
"Healthy","1246086","Lactonifactor",0.0609
"Healthy","1246086","Moryella",0.0553
"Healthy","1246086","Oscillibacter",0.0983
"Healthy","1246086","Blautia",12.6007
"Healthy","1246086","Butyricimonas",0.216
"Healthy","1246086","Paraprevotella",2.7586
"Healthy","1246086","Parasutterella",1.8127
"Healthy","1246086","Gordonibacter",0.0484
"Healthy","1246086","Anaerosporobacter",0.0027
"Healthy","1246086","Negativicoccus",0.0083
"Healthy","1246086","Flavonifractor",0.0872
"Healthy","1246086","Murdochiella",0.3018
"Healthy","1246086","Intestinimonas",0.0221
"Healthy","1246086","Fusicatenibacter",2.8043
"Healthy","1246086","Dielma",0.0027
"Healthy","1246086","Peptoclostridium",0.0304
"Healthy","1246086","Romboutsia",0.0138
"Healthy","1246086","Terrisporobacter",0.1052
"Healthy","1246086","Intestinibacter",0.3171
"Healthy","1246086","Erysipelatoclostridium",3.1546
"Healthy","1246086","Clostridioides",0.0041
"Healthy","1007045","Flavobacterium",0.5329
"Healthy","1007045","Kluyvera",4.9798
"Healthy","1007045","Bacteroides",19.4213
"Healthy","1007045","Porphyromonas",0.0022
"Healthy","1007045","Roseburia",8.3234
"Healthy","1007045","Megasphaera",0.0135
"Healthy","1007045","Sarcina",4.0745
"Healthy","1007045","Streptococcus",1.6588
